Entry,Part of Speech,Family Member(s),Family PoS,Meaning,Rec/Prod
significant,adj,"significantly; significance","adv; n",,Prod
silk,n,,,,Prod
similarity,n,,,,Prod
sink,v,,,,Rec
sit up/stand up straight,,,,,Rec
skilled,adj,skillful,,,Rec
slave,n,,,,Rec
sleeve,n,,,,Prod
slight,adj,slightly,adv,,Rec
slip,"v, n",,,fall; slide,Prod
slow (sb/sth) down / up or slow down/up (sb/sth),,,,,Prod
smart,adj,,,,Rec
smooth,adj,,,,Rec
so did we/so have I/so is mine etc.,,,,,Prod
so-called,,,,,Rec
society,n,social,adj,club; organization,Rec
some kind of,,,,,Prod
somewhere around / between etc.,,,,,Prod
sooner or later,,,,,Prod
sore,adj,,,,Prod
sound angry/happy/ rude etc.,,,,,Prod
speak about/of sth,,,,,Rec
special offer,,,,,Prod
specialist,n,specialize,v,,Prod
specific,adj,"specifically; specify","adv; v",,Rec
spectacular,adj,,,,Prod
speech,n,,,formal talk,Prod
speed,n,speed limit,,,Prod
spill,v,,,,Rec
spirit,n,,,attitude; morale,Rec
split up,,,,,Prod
spoil,v,,,,Rec
sportsman,n,sportswoman,n,,Rec
spot,v,,,notice,Rec
spread,"v, n",,,,Prod
spy,"n, v",,,,Prod
squeeze,"v, n",,,,Rec
stare,"v, n",,,,Prod
start (sth) off or start off (sth),,,,,Rec
stay,n,,,period of time you spend in a place,Rec
stay over,,,,,Rec
stay up,,,,,Rec
steep,adj,,,,Rec
step back/forward / over etc.,,,,,Rec
step on/in sth,,,,,Rec
stick,n,,,short branch; rod,Rec
still,adv,,,despite,Rec
strangely enough,,,,,Prod
stream,n,,,small river,Prod
strengthen,v,,,,Rec
stretch,"v, n",,,,Prod
strict,adj,,,,Prod
strike,"v, n",,,stop work,Rec
string,n,,,thin rope; musical instrument,Rec
stripe,n,,,,Rec
strong,adj,,,relationship; determined personality,Prod
structure,n,,,,Prod
struggle,"v, n",,,,Prod
study,"v, n",,,examine; look at; learning,Rec
style,n,,,individual way; method etc.; in art/literature/music etc.,Rec
subway,n,,,,Prod
suffer from sth,,,,,Prod
suit,v,,,look attractive,Rec
